PCE10,WF3,P3HT,PCBM,oIDTBR,degradation
0.0,0.0,0.7,0.0,0.3,0.080466
0.0,0.0,0.6,0.0,0.4,0.070693
0.0,0.0,0.5,0.0,0.5,0.066541
0.0,0.0,0.4,0.0,0.6,0.058847
0.0,0.0,0.3,0.0,0.7,0.056765
0.0,0.0,0.2,0.0,0.8,0.052616
0.0,0.0,0.1,0.0,0.9,0.029431
0.0,0.0,0.0,0.9,0.1,0.086933
0.0,0.0,0.0,0.8,0.2,0.115619
0.0,0.0,0.0,0.7,0.3,0.275215
0.0,0.0,0.0,0.6,0.4,0.326025
0.0,0.0,0.0,0.5,0.5,0.74307
0.0,0.0,0.0,0.4,0.6,0.689383
0.0,0.0,0.0,0.3,0.7,0.633212
0.0,0.0,0.0,0.2,0.8,0.025779
0.0,0.0,0.0,0.1,0.9,0.010534
0.8,0.0,0.1,0.1,0.0,0.115968
0.7,0.0,0.2,0.1,0.0,0.081157
0.6,0.0,0.3,0.1,0.0,0.110779
0.5,0.0,0.4,0.1,0.0,0.12475
0.4,0.0,0.5,0.1,0.0,0.111731
0.3,0.0,0.6,0.1,0.0,0.107741
0.2,0.0,0.7,0.1,0.0,0.108452
0.1,0.0,0.8,0.1,0.0,0.095506
0.7,0.0,0.1,0.2,0.0,0.104825
0.6,0.0,0.2,0.2,0.0,0.092225
0.5,0.0,0.3,0.2,0.0,0.078801
0.4,0.0,0.4,0.2,0.0,0.073222
0.3,0.0,0.5,0.2,0.0,0.070552
0.2,0.0,0.6,0.2,0.0,0.050221
0.1,0.0,0.7,0.2,0.0,0.068427
0.6,0.0,0.1,0.3,0.0,0.066246
0.5,0.0,0.2,0.3,0.0,0.114156
0.4,0.0,0.3,0.3,0.0,0.087871
0.3,0.0,0.4,0.3,0.0,0.072482
0.2,0.0,0.5,0.3,0.0,0.06603
0.1,0.0,0.6,0.3,0.0,0.06465
0.5,0.0,0.1,0.4,0.0,0.066086
0.4,0.0,0.2,0.4,0.0,0.066349
0.3,0.0,0.3,0.4,0.0,0.061946
0.2,0.0,0.4,0.4,0.0,0.058679
0.1,0.0,0.5,0.4,0.0,0.041014
0.4,0.0,0.1,0.5,0.0,0.047697
0.3,0.0,0.2,0.5,0.0,0.059897
0.2,0.0,0.3,0.5,0.0,0.064561
0.1,0.0,0.4,0.5,0.0,0.059913
0.3,0.0,0.1,0.6,0.0,0.046779
0.2,0.0,0.2,0.6,0.0,0.049789
0.1,0.0,0.3,0.6,0.0,0.052247
0.2,0.0,0.1,0.7,0.0,0.035912
0.1,0.0,0.2,0.7,0.0,0.044725
0.1,0.0,0.1,0.8,0.0,0.024836
0.1,0.0,0.1,0.0,0.8,0.057718
0.2,0.0,0.1,0.0,0.7,0.07441
0.3,0.0,0.1,0.0,0.6,0.110688
0.4,0.0,0.1,0.0,0.5,0.1109
0.5,0.0,0.1,0.0,0.4,0.13156
0.6,0.0,0.1,0.0,0.3,0.142569
0.7,0.0,0.1,0.0,0.2,0.158898
0.8,0.0,0.1,0.0,0.1,0.169886
0.1,0.0,0.2,0.0,0.7,0.089056
0.2,0.0,0.2,0.0,0.6,0.106576
0.3,0.0,0.2,0.0,0.5,0.119285
0.4,0.0,0.2,0.0,0.4,0.125183
0.5,0.0,0.2,0.0,0.3,0.151977
0.6,0.0,0.2,0.0,0.2,0.153334
0.7,0.0,0.2,0.0,0.1,0.148158
0.1,0.0,0.3,0.0,0.6,0.098007
0.2,0.0,0.3,0.0,0.5,0.106559
0.3,0.0,0.3,0.0,0.4,0.114039
0.4,0.0,0.3,0.0,0.3,0.122959
0.5,0.0,0.3,0.0,0.2,0.13827
0.6,0.0,0.3,0.0,0.1,0.148781
0.1,0.0,0.4,0.0,0.5,0.093143
0.2,0.0,0.4,0.0,0.4,0.113498
0.3,0.0,0.4,0.0,0.3,0.11483
0.4,0.0,0.4,0.0,0.2,0.109641
0.5,0.0,0.4,0.0,0.1,0.137544
0.1,0.0,0.5,0.0,0.4,0.088527
0.2,0.0,0.5,0.0,0.3,0.10411
0.3,0.0,0.5,0.0,0.2,0.117019
0.4,0.0,0.5,0.0,0.1,0.129672
0.1,0.0,0.6,0.0,0.3,0.081972
0.2,0.0,0.6,0.0,0.2,0.137172
0.3,0.0,0.6,0.0,0.1,0.112126
0.1,0.0,0.7,0.0,0.2,0.078234
0.2,0.0,0.7,0.0,0.1,0.137806
0.1,0.0,0.8,0.0,0.1,0.147943
0.1,0.0,0.0,0.8,0.1,0.218516
0.1,0.0,0.0,0.7,0.2,0.239941
0.1,0.0,0.0,0.6,0.3,0.345865
0.1,0.0,0.0,0.5,0.4,0.456698
0.1,0.0,0.0,0.4,0.5,0.564119
0.1,0.0,0.0,0.3,0.6,0.184851
0.1,0.0,0.0,0.2,0.7,0.060224
0.1,0.0,0.0,0.1,0.8,0.046472
0.2,0.0,0.0,0.7,0.1,0.188072
0.2,0.0,0.0,0.6,0.2,0.243428
0.2,0.0,0.0,0.5,0.3,0.345906
0.2,0.0,0.0,0.4,0.4,0.454378
0.2,0.0,0.0,0.3,0.5,0.563347
0.2,0.0,0.0,0.2,0.6,0.264662
0.2,0.0,0.0,0.1,0.7,0.076597
0.3,0.0,0.0,0.6,0.1,0.230852
0.3,0.0,0.0,0.5,0.2,0.224388
0.3,0.0,0.0,0.4,0.3,0.334962
0.3,0.0,0.0,0.3,0.4,0.346114
0.3,0.0,0.0,0.2,0.5,0.058444
0.3,0.0,0.0,0.1,0.6,0.058279
0.4,0.0,0.0,0.5,0.1,0.279056
0.4,0.0,0.0,0.4,0.2,0.246743
0.4,0.0,0.0,0.3,0.3,0.324943
0.4,0.0,0.0,0.2,0.4,0.112505
0.4,0.0,0.0,0.1,0.5,0.059416
0.5,0.0,0.0,0.4,0.1,0.199084
0.5,0.0,0.0,0.3,0.2,0.244193
0.5,0.0,0.0,0.2,0.3,0.320617
0.5,0.0,0.0,0.1,0.4,0.106389
0.6,0.0,0.0,0.3,0.1,0.112911
0.6,0.0,0.0,0.2,0.2,0.238146
0.6,0.0,0.0,0.1,0.3,0.108
0.7,0.0,0.0,0.2,0.1,0.155763
0.7,0.0,0.0,0.1,0.2,0.07494
0.8,0.0,0.0,0.1,0.1,0.164465
0.0,0.0,0.8,0.1,0.1,0.097979
0.0,0.0,0.7,0.2,0.1,0.089638
0.0,0.0,0.6,0.3,0.1,0.098653
0.0,0.0,0.5,0.4,0.1,0.108912
0.0,0.0,0.4,0.5,0.1,0.117661
0.0,0.0,0.3,0.6,0.1,0.112279
0.0,0.0,0.2,0.7,0.1,0.111459
0.0,0.0,0.1,0.8,0.1,0.121832
0.0,0.0,0.7,0.1,0.2,0.130921
0.0,0.0,0.6,0.2,0.2,0.167859
0.0,0.0,0.5,0.3,0.2,0.129374
0.0,0.0,0.4,0.4,0.2,0.156016
0.0,0.0,0.3,0.5,0.2,0.182124
0.0,0.0,0.2,0.6,0.2,0.203029
0.0,0.0,0.1,0.7,0.2,0.208136
0.0,0.0,0.6,0.1,0.3,0.135743
0.0,0.0,0.5,0.2,0.3,0.176539
0.0,0.0,0.4,0.3,0.3,0.198561
0.0,0.0,0.3,0.4,0.3,0.266462
0.0,0.0,0.2,0.5,0.3,0.328064
0.0,0.0,0.1,0.6,0.3,0.419155
0.0,0.0,0.5,0.1,0.4,0.042051
0.0,0.0,0.4,0.2,0.4,0.239738
0.0,0.0,0.3,0.3,0.4,0.330854
0.0,0.0,0.2,0.4,0.4,0.414936
0.0,0.0,0.1,0.5,0.4,0.454125
0.0,0.0,0.4,0.1,0.5,0.044229
0.0,0.0,0.3,0.2,0.5,0.049045
0.0,0.0,0.2,0.3,0.5,0.366271
0.0,0.0,0.1,0.4,0.5,0.508448
0.0,0.0,0.3,0.1,0.6,0.043748
0.0,0.0,0.2,0.2,0.6,0.038521
0.0,0.0,0.1,0.3,0.6,0.255641
0.0,0.0,0.2,0.1,0.7,0.037966
0.0,0.0,0.1,0.2,0.7,0.036897
0.0,0.0,0.1,0.1,0.8,0.032347
0.06,0.0,0.08,0.84,0.02,0.113214
0.1,0.0,0.04,0.84,0.02,0.098363
0.04,0.0,0.16,0.78,0.02,0.08609
0.02,0.0,0.24,0.72,0.02,0.041699
0.24,0.0,0.04,0.7,0.02,0.098889
0.06,0.0,0.22,0.7,0.02,0.048551
0.18,0.0,0.18,0.62,0.02,0.079286
0.1,0.0,0.26,0.62,0.02,0.068877
0.16,0.0,0.2,0.62,0.02,0.08238
0.08,0.0,0.3,0.6,0.02,0.082942
0.08,0.0,0.3,0.6,0.02,0.06995
0.16,0.0,0.26,0.56,0.02,0.100997
0.06,0.0,0.36,0.56,0.02,0.078941
0.14,0.0,0.3,0.54,0.02,0.089506
0.04,0.0,0.44,0.5,0.02,0.071239
0.46,0.0,0.04,0.48,0.02,0.083173
0.02,0.0,0.5,0.46,0.02,0.069415
0.1,0.0,0.42,0.46,0.02,0.086382
0.44,0.0,0.1,0.44,0.02,0.128762
0.48,0.0,0.08,0.42,0.02,0.257697
0.52,0.0,0.04,0.42,0.02,0.159461
0.3,0.0,0.26,0.42,0.02,0.093508
0.2,0.0,0.38,0.4,0.02,0.062371
0.5,0.0,0.08,0.4,0.02,0.100053
0.42,0.0,0.18,0.38,0.02,0.092509
0.4,0.0,0.2,0.38,0.02,0.090543
0.08,0.0,0.54,0.36,0.02,0.075777
0.6,0.0,0.02,0.36,0.02,0.0838
0.36,0.0,0.3,0.32,0.02,0.093557
0.48,0.0,0.2,0.3,0.02,0.094674
0.5,0.0,0.18,0.3,0.02,0.093682
0.38,0.0,0.3,0.3,0.02,0.086363
0.06,0.0,0.62,0.3,0.02,0.069922
0.52,0.0,0.16,0.3,0.02,0.096426
0.46,0.0,0.26,0.26,0.02,0.12298
0.26,0.0,0.46,0.26,0.02,0.087158
0.54,0.0,0.2,0.24,0.02,0.100869
0.62,0.0,0.14,0.22,0.02,0.10705
0.4,0.0,0.38,0.2,0.02,0.119905
0.58,0.0,0.22,0.18,0.02,0.099929
0.04,0.0,0.76,0.18,0.02,0.086803
0.48,0.0,0.32,0.18,0.02,0.106899
0.26,0.0,0.56,0.16,0.02,0.103737
0.24,0.0,0.58,0.16,0.02,0.098599
0.68,0.0,0.14,0.16,0.02,0.130151
0.1,0.0,0.72,0.16,0.02,0.089989
0.02,0.0,0.82,0.14,0.02,0.096044
0.36,0.0,0.48,0.14,0.02,0.124195
0.74,0.0,0.12,0.12,0.02,0.126992
0.32,0.0,0.54,0.12,0.02,0.121881
0.4,0.0,0.5,0.08,0.02,0.133476
0.78,0.0,0.12,0.08,0.02,0.148891
0.28,0.0,0.62,0.08,0.02,0.142972
0.5,0.0,0.44,0.04,0.02,0.174717
0.76,0.0,0.18,0.04,0.02,0.206802
0.34,0.0,0.62,0.02,0.02,0.167406
0.2,0.0,0.76,0.02,0.02,0.159273
0.06,0.0,0.06,0.84,0.04,0.063185
0.04,0.0,0.08,0.84,0.04,0.086178
0.08,0.0,0.1,0.78,0.04,0.082064
0.06,0.0,0.2,0.7,0.04,0.076414
0.02,0.0,0.24,0.7,0.04,0.057749
0.08,0.0,0.2,0.68,0.04,0.082988
0.32,0.0,0.04,0.6,0.04,0.090763
0.26,0.0,0.14,0.56,0.04,0.093466
0.12,0.0,0.28,0.56,0.04,0.109284
0.2,0.0,0.22,0.54,0.04,0.092917
0.4,0.0,0.06,0.5,0.04,0.102113
0.42,0.0,0.06,0.48,0.04,0.099059
0.4,0.0,0.1,0.46,0.04,0.098377
0.36,0.0,0.14,0.46,0.04,0.110998
0.3,0.0,0.22,0.44,0.04,0.09319
0.48,0.0,0.06,0.42,0.04,0.098412
0.1,0.0,0.44,0.42,0.04,0.083513
0.4,0.0,0.2,0.36,0.04,0.096671
0.32,0.0,0.28,0.36,0.04,0.088195
0.36,0.0,0.24,0.36,0.04,0.095879
0.26,0.0,0.36,0.34,0.04,0.116393
0.56,0.0,0.06,0.34,0.04,0.103218
0.14,0.0,0.48,0.34,0.04,0.085594
0.56,0.0,0.06,0.34,0.04,0.101559
0.62,0.0,0.04,0.3,0.04,0.105456
0.22,0.0,0.46,0.28,0.04,0.110394
0.26,0.0,0.42,0.28,0.04,0.094908
0.36,0.0,0.32,0.28,0.04,0.095797
0.02,0.0,0.68,0.26,0.04,0.071109
0.2,0.0,0.54,0.22,0.04,0.088408
0.22,0.0,0.52,0.22,0.04,0.091368
0.1,0.0,0.66,0.2,0.04,0.084243
0.62,0.0,0.14,0.2,0.04,0.103221
0.46,0.0,0.32,0.18,0.04,0.111565
0.66,0.0,0.14,0.16,0.04,0.112403
0.68,0.0,0.12,0.16,0.04,0.125274
0.7,0.0,0.1,0.16,0.04,0.111633
0.48,0.0,0.34,0.14,0.04,0.155968
0.04,0.0,0.8,0.12,0.04,0.102246
0.8,0.0,0.06,0.1,0.04,0.152399
0.7,0.0,0.16,0.1,0.04,0.160159
0.1,0.0,0.78,0.08,0.04,0.120184
0.2,0.0,0.68,0.08,0.04,0.127947
0.42,0.0,0.48,0.06,0.04,0.136387
0.04,0.0,0.86,0.06,0.04,0.111973
0.18,0.0,0.72,0.06,0.04,0.139585
0.76,0.0,0.16,0.04,0.04,0.196958
0.06,0.0,0.86,0.04,0.04,0.126614
0.42,0.0,0.5,0.04,0.04,0.166846
0.04,0.0,0.88,0.04,0.04,0.161617
0.6,0.0,0.32,0.04,0.04,0.194564
0.46,0.0,0.48,0.02,0.04,0.19054
0.08,0.0,0.12,0.74,0.06,0.097284
0.18,0.0,0.04,0.72,0.06,0.095201
0.08,0.0,0.18,0.68,0.06,0.096163
0.12,0.0,0.16,0.66,0.06,0.098094
0.08,0.0,0.24,0.62,0.06,0.10451
0.1,0.0,0.28,0.56,0.06,0.09517
0.34,0.0,0.08,0.52,0.06,0.101694
0.1,0.0,0.36,0.48,0.06,0.096182
0.24,0.0,0.22,0.48,0.06,0.109213
0.1,0.0,0.42,0.42,0.06,0.117075
0.16,0.0,0.38,0.4,0.06,0.1128
0.5,0.0,0.04,0.4,0.06,0.120772
0.1,0.0,0.48,0.36,0.06,0.093657
0.32,0.0,0.26,0.36,0.06,0.105825
0.08,0.0,0.54,0.32,0.06,0.078974
0.4,0.0,0.24,0.3,0.06,0.09771
0.3,0.0,0.34,0.3,0.06,0.099779
0.28,0.0,0.4,0.26,0.06,0.103956
0.12,0.0,0.58,0.24,0.06,0.082408
0.34,0.0,0.4,0.2,0.06,0.109846
0.34,0.0,0.46,0.14,0.06,0.136029
0.4,0.0,0.42,0.12,0.06,0.131808
0.34,0.0,0.48,0.12,0.06,0.127336
0.54,0.0,0.28,0.12,0.06,0.152665
0.26,0.0,0.56,0.12,0.06,0.121251
0.74,0.0,0.08,0.12,0.06,0.164309
0.38,0.0,0.46,0.1,0.06,0.174167
0.8,0.0,0.04,0.1,0.06,0.125599
0.24,0.0,0.6,0.1,0.06,0.348685
0.68,0.0,0.18,0.08,0.06,0.395957
0.82,0.0,0.04,0.08,0.06,0.181599
0.04,0.0,0.82,0.08,0.06,0.118601
0.62,0.0,0.24,0.08,0.06,0.166246
0.12,0.0,0.76,0.06,0.06,0.130716
0.84,0.0,0.04,0.06,0.06,0.198462
0.12,0.0,0.76,0.06,0.06,0.140926
0.24,0.0,0.66,0.04,0.06,0.172136
0.62,0.0,0.28,0.04,0.06,0.201393
0.12,0.0,0.06,0.74,0.08,0.107634
0.04,0.0,0.16,0.72,0.08,0.179012
0.06,0.0,0.16,0.7,0.08,0.171188
0.14,0.0,0.12,0.66,0.08,0.190578
0.04,0.0,0.24,0.64,0.08,0.156004
0.08,0.0,0.22,0.62,0.08,0.103135
0.02,0.0,0.3,0.6,0.08,0.096617
0.04,0.0,0.28,0.6,0.08,0.088569
0.16,0.0,0.16,0.6,0.08,0.119173
0.1,0.0,0.24,0.58,0.08,0.110802
0.1,0.0,0.24,0.58,0.08,0.125232
0.28,0.0,0.08,0.56,0.08,0.167691
0.2,0.0,0.18,0.54,0.08,0.127558
0.36,0.0,0.08,0.48,0.08,0.115528
0.26,0.0,0.22,0.44,0.08,0.150432
0.44,0.0,0.04,0.44,0.08,0.143455
0.42,0.0,0.06,0.44,0.08,0.151473
0.36,0.0,0.14,0.42,0.08,0.109929
0.54,0.0,0.02,0.36,0.08,0.128529
0.3,0.0,0.26,0.36,0.08,0.092428
0.54,0.0,0.06,0.32,0.08,0.114159
0.32,0.0,0.3,0.3,0.08,0.121292
0.24,0.0,0.4,0.28,0.08,0.122711
0.04,0.0,0.6,0.28,0.08,0.092171
0.3,0.0,0.34,0.28,0.08,0.109512
0.5,0.0,0.16,0.26,0.08,0.119344
0.28,0.0,0.38,0.26,0.08,0.110825
0.14,0.0,0.52,0.26,0.08,0.111403
0.48,0.0,0.2,0.24,0.08,0.121536
0.18,0.0,0.5,0.24,0.08,0.116053
0.58,0.0,0.12,0.22,0.08,0.11725
0.66,0.0,0.04,0.22,0.08,0.112697
0.32,0.0,0.38,0.22,0.08,0.108683
0.56,0.0,0.14,0.22,0.08,0.12856
0.18,0.0,0.52,0.22,0.08,0.113819
0.22,0.0,0.5,0.2,0.08,0.126034
0.4,0.0,0.32,0.2,0.08,0.109928
0.3,0.0,0.42,0.2,0.08,0.117639
0.22,0.0,0.5,0.2,0.08,0.114326
0.2,0.0,0.54,0.18,0.08,0.115222
0.62,0.0,0.14,0.16,0.08,0.136313
0.42,0.0,0.36,0.14,0.08,0.124784
0.42,0.0,0.36,0.14,0.08,0.134979
0.48,0.0,0.3,0.14,0.08,0.116477
0.58,0.0,0.2,0.14,0.08,0.151146
0.12,0.0,0.68,0.12,0.08,0.129041
0.56,0.0,0.28,0.08,0.08,0.181164
0.32,0.0,0.52,0.08,0.08,0.156386
0.22,0.0,0.62,0.08,0.08,0.159314
0.36,0.0,0.5,0.06,0.08,0.165956
0.02,0.0,0.12,0.76,0.1,0.109471
0.1,0.0,0.06,0.74,0.1,0.120387
0.06,0.0,0.12,0.72,0.1,0.107391
0.08,0.0,0.16,0.66,0.1,0.133401
0.04,0.0,0.2,0.66,0.1,0.117254
0.04,0.0,0.24,0.62,0.1,0.102284
0.16,0.0,0.16,0.58,0.1,0.139276
0.2,0.0,0.14,0.56,0.1,0.129625
0.22,0.0,0.12,0.56,0.1,0.173294
0.26,0.0,0.1,0.54,0.1,0.132529
0.1,0.0,0.32,0.48,0.1,0.135316
0.12,0.0,0.32,0.46,0.1,0.120833
0.28,0.0,0.16,0.46,0.1,0.131033
0.2,0.0,0.24,0.46,0.1,0.127175
0.02,0.0,0.44,0.44,0.1,0.107901
0.26,0.0,0.26,0.38,0.1,0.121155
0.32,0.0,0.24,0.34,0.1,0.127848
0.24,0.0,0.32,0.34,0.1,0.125581
0.24,0.0,0.34,0.32,0.1,0.155845
0.28,0.0,0.32,0.3,0.1,0.156709
0.26,0.0,0.34,0.3,0.1,0.142581
0.52,0.0,0.14,0.24,0.1,0.17145
0.38,0.0,0.32,0.2,0.1,0.16274
0.62,0.0,0.08,0.2,0.1,0.176692
0.38,0.0,0.34,0.18,0.1,0.176452
0.04,0.0,0.68,0.18,0.1,0.141978
0.34,0.0,0.42,0.14,0.1,0.184585
0.12,0.0,0.64,0.14,0.1,0.165714
0.56,0.0,0.28,0.06,0.1,0.260121
0.82,0.0,0.02,0.06,0.1,0.183861
0.5,0.0,0.38,0.02,0.1,0.205904
0.02,0.0,0.14,0.72,0.12,0.149806
0.12,0.0,0.1,0.66,0.12,0.16893
0.18,0.0,0.04,0.66,0.12,0.170961
0.06,0.0,0.22,0.6,0.12,0.166606
0.18,0.0,0.1,0.6,0.12,0.164411
0.02,0.0,0.26,0.6,0.12,0.129284
0.22,0.0,0.1,0.56,0.12,0.19847
0.3,0.0,0.06,0.52,0.12,0.178925
0.18,0.0,0.18,0.52,0.12,0.162468
0.1,0.0,0.34,0.44,0.12,0.159099
0.16,0.0,0.3,0.42,0.12,0.170826
0.44,0.0,0.02,0.42,0.12,0.184195
0.24,0.0,0.26,0.38,0.12,0.163352
0.48,0.0,0.02,0.38,0.12,0.199035
0.36,0.0,0.16,0.36,0.12,0.171424
0.04,0.0,0.48,0.36,0.12,0.124006
0.16,0.0,0.42,0.3,0.12,0.157946
0.56,0.0,0.04,0.28,0.12,0.183699
0.06,0.0,0.54,0.28,0.12,0.143798
0.34,0.0,0.28,0.26,0.12,0.140277
0.04,0.0,0.6,0.24,0.12,0.148214
0.48,0.0,0.18,0.22,0.12,0.173818
0.18,0.0,0.48,0.22,0.12,0.151915
0.24,0.0,0.44,0.2,0.12,0.155463
0.24,0.0,0.44,0.2,0.12,0.161289
0.52,0.0,0.2,0.16,0.12,0.186062
0.32,0.0,0.4,0.16,0.12,0.181885
0.54,0.0,0.2,0.14,0.12,0.197142
0.5,0.0,0.24,0.14,0.12,0.205244
0.22,0.0,0.52,0.14,0.12,0.176045
0.34,0.0,0.4,0.14,0.12,0.181116
0.24,0.0,0.52,0.12,0.12,0.182227
0.52,0.0,0.26,0.1,0.12,0.217231
0.06,0.0,0.72,0.1,0.12,0.17916
0.34,0.0,0.46,0.08,0.12,0.169504
0.68,0.0,0.12,0.08,0.12,0.172497
0.74,0.0,0.06,0.08,0.12,0.248695
0.16,0.0,0.64,0.08,0.12,0.209032
0.58,0.0,0.22,0.08,0.12,0.235381
0.58,0.0,0.22,0.08,0.12,0.234162
0.16,0.0,0.66,0.06,0.12,0.199149
0.04,0.0,0.8,0.04,0.12,0.205953
0.34,0.0,0.52,0.02,0.12,0.200203
0.02,0.0,0.1,0.74,0.14,0.179905
0.06,0.0,0.14,0.66,0.14,0.174621
0.06,0.0,0.16,0.64,0.14,0.169117
0.2,0.0,0.12,0.54,0.14,0.184327
0.2,0.0,0.12,0.54,0.14,0.199219
0.2,0.0,0.12,0.54,0.14,0.199609
0.26,0.0,0.1,0.5,0.14,0.194667
0.02,0.0,0.36,0.48,0.14,0.172798
0.08,0.0,0.34,0.44,0.14,0.17894
0.28,0.0,0.16,0.42,0.14,0.181271
0.16,0.0,0.3,0.4,0.14,0.217194
0.3,0.0,0.16,0.4,0.14,0.175676
0.14,0.0,0.38,0.34,0.14,0.18473
0.04,0.0,0.48,0.34,0.14,0.131323
0.22,0.0,0.32,0.32,0.14,0.177806
0.5,0.0,0.06,0.3,0.14,0.190319
0.04,0.0,0.54,0.28,0.14,0.138384
0.28,0.0,0.34,0.24,0.14,0.17191
0.42,0.0,0.24,0.2,0.14,0.179777
0.08,0.0,0.58,0.2,0.14,0.14978
0.24,0.0,0.44,0.18,0.14,0.17563
0.2,0.0,0.48,0.18,0.14,0.174612
0.62,0.0,0.06,0.18,0.14,0.20929
0.66,0.0,0.02,0.18,0.14,0.232247
0.42,0.0,0.28,0.16,0.14,0.188975
0.56,0.0,0.14,0.16,0.14,0.199957
0.06,0.0,0.64,0.16,0.14,0.149956
0.26,0.0,0.46,0.14,0.14,0.171067
0.7,0.0,0.04,0.12,0.14,0.245741
0.6,0.0,0.14,0.12,0.14,0.216576
0.06,0.0,0.7,0.1,0.14,0.179126
0.26,0.0,0.52,0.08,0.14,0.161958
0.6,0.0,0.18,0.08,0.14,0.237774
0.7,0.0,0.1,0.06,0.14,0.192056
0.32,0.0,0.48,0.06,0.14,0.176942
0.48,0.0,0.34,0.04,0.14,0.176055
0.04,0.0,0.02,0.78,0.16,0.144868
0.18,0.0,0.04,0.62,0.16,0.203841
0.22,0.0,0.08,0.54,0.16,0.200714
0.22,0.0,0.12,0.5,0.16,0.228925
0.22,0.0,0.18,0.44,0.16,0.182746
0.22,0.0,0.28,0.34,0.16,0.179018
0.4,0.0,0.1,0.34,0.16,0.18266
0.08,0.0,0.46,0.3,0.16,0.132548
0.44,0.0,0.12,0.28,0.16,0.174267
0.18,0.0,0.38,0.28,0.16,0.15136
0.18,0.0,0.4,0.26,0.16,0.142633
0.2,0.0,0.38,0.26,0.16,0.149925
0.42,0.0,0.18,0.24,0.16,0.155168
0.04,0.0,0.58,0.22,0.16,0.109946
0.04,0.0,0.6,0.2,0.16,0.121244
0.48,0.0,0.18,0.18,0.16,0.164822
0.48,0.0,0.18,0.18,0.16,0.201829
0.06,0.0,0.62,0.16,0.16,0.123413
0.08,0.0,0.62,0.14,0.16,0.145897
0.56,0.0,0.16,0.12,0.16,0.201329
0.44,0.0,0.28,0.12,0.16,0.199621
0.24,0.0,0.48,0.12,0.16,0.130653
0.46,0.0,0.26,0.12,0.16,0.119472
0.38,0.0,0.34,0.12,0.16,0.162742
0.22,0.0,0.5,0.12,0.16,0.14876
0.42,0.0,0.32,0.1,0.16,0.148768
0.58,0.0,0.18,0.08,0.16,0.10247
0.32,0.0,0.44,0.08,0.16,0.088469
0.72,0.0,0.06,0.06,0.16,0.1143
0.6,0.0,0.2,0.04,0.16,0.123675
0.76,0.0,0.06,0.02,0.16,0.154683
0.08,0.0,0.02,0.72,0.18,0.196291
0.1,0.0,0.06,0.66,0.18,0.187805
0.12,0.0,0.08,0.62,0.18,0.200177
0.06,0.0,0.2,0.56,0.18,0.180416
0.2,0.0,0.06,0.56,0.18,0.204962
0.06,0.0,0.22,0.54,0.18,0.189094
0.14,0.0,0.22,0.46,0.18,0.20172
0.12,0.0,0.24,0.46,0.18,0.190968
0.28,0.0,0.1,0.44,0.18,0.176711
0.36,0.0,0.1,0.36,0.18,0.227512
0.42,0.0,0.06,0.34,0.18,0.20888
0.34,0.0,0.14,0.34,0.18,0.206401
0.08,0.0,0.44,0.3,0.18,0.163394
0.48,0.0,0.1,0.24,0.18,0.196101
0.36,0.0,0.22,0.24,0.18,0.178161
0.24,0.0,0.36,0.22,0.18,0.169678
0.34,0.0,0.26,0.22,0.18,0.166961
0.48,0.0,0.12,0.22,0.18,0.193773
